country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lao,0.01,0.02,0.06,0.11,0.2,0.32,0.49,0.74,1.13,1.74,2.65,3.84,5.23,6.67,7.66,8.75,9.03,10.3,11.3,11.9,12.7,12.7,12.7,12.5,12.9,11.8,10.1
Latvia,0.36,0.35,0.37,0.33,0.34,0.36,0.43,0.5,0.44,0.48,0.48,0.44,0.53,0.53,0.45,0.45,0.55,0.56,0.76,0.65,0.76,0.71,0.78,0.81,0.8,0.78,0.76
Lebanon,0.79,0.83,0.86,0.88,0.9,0.91,0.91,0.91,0.89,0.87,0.84,0.81,0.78,0.77,0.75,0.73,0.72,0.71,0.71,0.72,0.73,0.76,0.44,0.18,0.34,0.4,0.35
Lesotho,39.5,65.6,105,159,233,326,437,564,701,843,976,1100,1200,1280,1330,1340,1280,1110,987,785,581,391,300,278,236,176,244
Liberia,33.6,47.7,63.8,81.8,102,125,151,182,218,256,291,319,338,350,354,351,343,327,293,267,240,199,172,160,151,121,81.2
Libya,0.28,0.32,0.37,0.42,0.47,0.53,0.59,0.66,0.74,0.84,0.95,1.07,1.19,1.31,1.42,1.52,1.6,1.68,1.74,1.79,1.82,1.82,1.82,1.8,1.78,1.68,1.25
Lithuania,0.25,0.27,0.23,0.38,0.3,0.34,0.26,0.26,0.3,0.34,0.37,0.31,0.28,0.32,0.37,0.25,0.27,0.3,0.35,0.38,0.43,0.39,0.39,0.4,0.38,0.36,0.34
Luxembourg,0.05,0.06,0.07,0.08,0.08,0.07,0.07,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01
Madagascar,1.49,2.35,3.59,5.38,7.94,11.5,16.4,23.1,31.8,42.9,56.2,71.2,87.2,103,117,129,137,142,143,143,139,129,122,119,116,114,107
Malawi,1740,2410,3150,3910,4660,5380,6020,6630,7170,7610,7970,8190,8340,8380,8310,8100,7760,7240,6510,5890,5640,4860,3860,3160,2680,2120,1940
Malaysia,1.7,4.57,8.54,12.5,16,18.9,21.2,22.9,22.6,22.2,20.5,18.6,16.7,15.3,15.5,17.2,17.2,17.1,12.6,10.9,9.16,4.76,2.8,2.08,1.61,1.51,2.55
Maldives,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05
Mali,83.6,106,133,163,195,229,262,295,325,352,376,395,409,419,426,427,403,359,323,293,275,198,109,61.5,110,129,209
Malta,0.04,0.05,0.06,0.07,0.07,0.08,0.07,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Marshall Islands,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.17,0.06,0.03
Mauritania,9.63,12.1,14.4,16.6,18.7,20.7,22.4,24.1,25.8,27.4,28.9,30.4,31.7,32.9,33.7,34.1,34.2,32.2,30.9,29.6,28.3,27.5,28.2,27.5,21.2,17.7,19
Mauritius,0.55,0.21,0.16,0.23,0.21,0.18,0.24,0.11,0.17,0.12,0.24,0.11,0.22,0.31,0.37,0.45,0.66,0.92,0.85,0.58,0.92,0.75,0.95,1.24,1.27,1.04,0.96
Mexico,72.8,79.1,98.4,98.7,101,107,122,134,256,242,251,247,242,256,231,199,199,204,190,172,156,141,143,134,115,115,112
"Micronesia, Fed. Sts.",0.06,0.08,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.15,0.17,0.19,0.22,0.25,0.28,0.1,0.04
Moldova,0.59,0.82,0.75,0.97,1,0.95,1.23,1.17,1.22,1.47,1.35,1.02,0.94,0.81,0.93,0.9,0.94,1.01,1.08,0.97,0.9,0.88,0.9,0.85,0.84,0.76,0.71
Mongolia,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.07,0.08,0.09,0.12,0.14,0.15,0.17,0.2,0.33
Montenegro,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Morocco,3.82,4.58,5.41,6.29,7.23,8.21,9.19,10.2,11.3,12.4,13.6,15,16.4,16.4,16.6,16.8,16.5,15.9,14.7,13,11.3,10.3,8.49,7.13,6.06,5.4,6.52
Mozambique,565,793,1090,1470,1930,2480,3090,3770,4480,5240,6010,6790,7550,8310,9040,9760,10400,10900,11300,11600,11900,12100,12100,11900,11300,10800,10200
Myanmar,4.27,11.7,23.2,37.2,53,70.2,88.7,109,132,158,187,218,247,269,280,282,269,245,206,162,133,117,82.4,60.4,46.6,23.3,26.6
Namibia,52.9,84.9,130,190,267,358,462,576,698,820,935,1020,1090,1140,1090,903,671,504,429,397,317,218,154,127,83.7,51.7,63.7
Nepal,0.02,0.06,0.16,0.37,0.77,1.47,2.73,5,8.97,15.1,23.3,32.7,42.7,52.5,61.8,70.1,74.9,77.7,78.4,76.4,75.9,71.8,69.2,66.8,61.4,55.2,40.6
Netherlands,3.3,3.02,4.19,3.76,3.67,3.87,3.48,2.45,2.24,1.91,2.23,2,1.49,1.59,1.43,1.22,0.86,1,0.92,0.93,0.72,0.76,0.67,0.57,0.62,0.61,0.59
New Zealand,0.57,0.48,0.62,0.62,0.34,0.59,0.34,0.32,0.12,0.19,0.22,0.19,0.18,0.18,0.19,0.11,0.24,0.21,0.14,0.16,0.14,0.1,0.16,0.12,0.11,0.11,0.1
Nicaragua,0.94,1.05,1.17,1.32,1.51,1.74,2.01,2.32,2.66,3.02,3.38,3.73,4.05,4.13,4.21,3.59,2.25,0.49,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.11,0.14
Niger,62.2,87.5,121,165,219,284,358,436,515,591,660,718,761,785,786,771,738,693,636,561,416,329,299,276,239,234,213
Nigeria,2440,3410,4600,5980,7540,9220,11000,12800,14600,16300,17800,19200,20300,21300,22100,22600,22400,21900,21500,20900,20300,19500,18800,16900,15900,12100,8270
North Korea,0.91,1.2,1.58,2.1,2.85,3.81,4.87,6.04,7.32,8.71,10.3,11.9,13.4,14.9,16.4,17.6,18.4,19.1,19.7,20.4,21.1,21.8,22.3,23.2,24.1,24.7,25.4
North Macedonia,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Norway,0.36,0.51,0.83,0.99,0.68,0.71,0.58,0.41,0.67,0.25,0.38,0.34,0.24,0.29,0.31,0.36,0.14,0.17,0.22,0.3,0.14,0.26,0.23,0.12,0.25,0.18,0.17
Oman,0.2,0.25,0.3,0.36,0.44,0.51,0.61,0.72,0.86,1.03,1.2,1.37,1.54,1.71,1.84,1.92,1.99,1.77,1.41,0.86,0.47,0.35,0.31,0.29,0.3,0.29,0.3
Pakistan,11.6,13,14.1,14.7,15.1,15.2,15.1,14.9,14.7,14.6,14.7,15.2,16.1,17.4,19.3,21.7,25.3,29.7,35,42.6,53.5,65.2,78.4,87.8,99.8,109,115
Palestine,0.04,0.05,0.07,0.08,0.1,0.13,0.15,0.19,0.22,0.26,0.31,0.36,0.41,0.46,0.52,0.58,0.66,0.75,0.85,0.98,1.12,1.28,1.44,1.61,1.78,1.87,1.56
Panama,1.72,2.09,2.68,3.47,4.47,5.47,6.07,6.27,9.68,13.1,14,12.4,12.6,10.9,12,10.8,10.4,11.5,9.35,8.82,10.1,8.5,7.65,8.85,7.79,7.3,6.89
Papua New Guinea,1.08,1.72,2.7,4.12,6.15,8.93,12.7,17.5,23.6,30.9,39.3,48.4,58.1,68,77.7,86.3,92.4,91.7,89.9,83.3,88.2,87.5,78.4,66.7,55.6,51.1,51.2
Paraguay,1.44,1.66,1.88,2.11,2.38,2.71,3.12,3.62,4.2,4.86,5.57,6.28,7.01,7.71,8.39,0.71,0.25,0.21,0.21,0.22,0.22,0.26,0.3,0.26,0.25,0.23,0.23
